,Unnamed: 0,sentence1,sentence2,score
0,0,"Here, in search of agents that could specifically kill KRAS mutant cells, they found that GATA2 fall was synthetically lethal with KRAS mutation","As expected, the drop of GATA2 in KRAS mutant cells resulted in a striking reduction in GTP-related active RHO proteins, including ROCK kinase downstream.",2.2
1,1,The transformed cells MLL-FKBP and MLL-AF9 showed persistent expression of Hox a7 and Hox a9 cells as well as Hox Meis 1 cofactor.,"Regardless of the transcriptional activation mechanism, the increase in data suggests that Hox a7, Hox a9 and Meis1 are pivotal targets for MLL-mediated transformation.",3.2
2,2,Oncogenic activity of mutant Kras appears to be dependent on functional Craf.,Oncogenic mutations of KRAS are common in cancer.,2.0
3,3,"Therefore, miRNA has been shown to act either as oncogenes (e.g. miR-155, miR-17−5p and miR-21), or as tumour suppressors (e.g. miR-34, miR-15a, miR-16−1 and let-7).","Given the significant involvement of miRNA in physiology, dysregulation of miRNA expression may be associated with cancer physiology, including oncogenesis], proliferation, epithelial-mesenchymic transition, metastasis, metabolic aberrations, and angiogenesis, among others.",2.8
4,4,We then sought to re-evaluate the regulation of miR-223 in the same experimental system as that adopted in previous work.,"Importantly, our re-evaluation revealed that this retained promoter is probably active in the induction of miR-223 during the differentiation of the retinoic All-trans acid (ATRA) induced by the APL cell line, NB4 cells, which is the main experimental system adopted in the previous study.",2.4
5,5,"In addition, transient expression exogenous LATS2 are located in centrosomes.",LATS1 and LATS2 were detected on interphase and mitotic centrosomes,3.0
6,6,"In PC9 cells, the loss of GATA6 and/or HOPX did not affect cell growth, while the reduction of GATA2 and EGFR inhibited cell viability as previously indicated.","Aurora-A is required for correct location and function of centrosome components such as centrosomin, NDEL1, LATS and TACC proteins",0.2
7,7,It has recently been shown that Craf is essential for Kras G12D-induced NSCLC.,"Recently, it has become clear that crab is essential for the development of non-small cell lung cancer led by Kras.",4.0
8,8,"The T47D, MCF-7, Skbr3, HeLa and Caco-2 cells were transfected by electroporation as described above.","The MCF7 or HeLa cells were electropored as described above at more than 95% efficiency with pSuper constructions against the different targets, and 72 hours later, protein expression was analyzed by SDS-PAGE and Western blotting.",3.0
9,9,Recent reports have shown that the first eight nucleotides at the 5′ end of miRNA can be correlated with effective translational repression.,Some errors near the 5′ end of the small RNA completely abrogate translational suppression.,3.2
10,10,"Ironically, rest has recently been described as both a tumour suppressor and an oncogene.",REST is a transcription factor that suppresses neuronal genes in nonneural tissues and plays an important role as a tumour suppressor in epithelial tissues.,3.0
11,11,"Finally, the researchers combined available selective inhibitors for two of the GATA2-regulated routes to treat mice with Kras-led NSCLCs.","In PC9 cells, the loss of GATA6 and/or HOPX did not affect cell growth, while the reduction of GATA2 and EGFR inhibited cell viability as previously indicated.",1.8
12,12,The octa-4-dependent transcriptional networks that regulate self-renewal and pluripotence in human ES and EC cells and human mesenchymal cells have been described.,Co-transfection of miRVec-miR-204 and Renilla-3′ UTR plasmid was observed in HEK293T cells with TransIT-LT1 (Mirus) transfection reagent,0.0
13,13,"In eukaryotic cells, small G-proteins are critically regulated by guanine nucleotide exchange factors (GEF) and GTPase-activating proteins (GAP).",Small eukaryotic G proteins are often controlled by the balancing measures of GAP and EGF.,4.0
14,14,"One gene that justifies other studies is the erythropoietin receptor, which is 7.4 times higher in positive cases of TEL-AML1 than in other B-ALL precursor cases confirming other genetic expression classification studies.",Another recent study of gene expression in a large number of cases supported the hypothesis that separate leukaemias are specified by each of the unique chromosome abnormalities observed in lymphoblastic leukemia.,0.6
