,Unnamed: 0,sentence1,sentence2,score
0,0,"here , look for broker that could specifically kill KRAS mutant cellphone , they chance that knockdown of GATA2 comprise synthetically deadly with KRAS mutation","not surprisingly , GATA2 knockdown indium KRAS mutant cubicle leave in ampere fall_upon decrease of active GTP-bound rho protein , let_in the downstream shake kinase",2.2
1,1,MLL-FKBP and MLL-AF9 transform cell shew unrelenting look of Hox a7 and Hox a9 vitamin_A swell angstrom the Hox cofactor mei ane .,"regardless of the mechanism for transcriptional activating , increase datum suggest that Hox a7 , Hox a9 , and Meis1 comprise polar direct for MLL fusion protein-mediated transformation .",3.2
2,2,The oncogenic bodily_function of mutant Kras appear qualified on operational Craf .,Oncogenic KRAS chromosomal_mutation be common in Crab .,2.0
3,3,"accordingly miRNAs have be exhibit to act either Eastern_Samoa oncogene ( for_instance , miR-155 , miR-17−5p and miR-21 ) operating_theater tumour suppresser ( for_example , miR-34 , miR-15a , miR-16−1 and let-7 )","give the extensive amour of miRNA in physiology , dysregulation of miRNA aspect rump be link_up with genus_Cancer pathobiology let_in oncogenesis ] , proliferation , epithelial-mesenchymal transition , metastasis , aberrancy in metabolic_process , and angiogenesis , among others",2.8
4,4,We and_so seek to reassess the regulation of miR-223 Hoosier_State the exactly Lapp data-based system follow in the previous puzzle_out,"importantly , our reassessment bring_out that this economize impresario exist belike active in the induction of miR-223 during All-trans retinoic acidic ( ATRA ) -induced specialization of the APL cell line , NB4 jail_cell , which be the main experimental arrangement adoptive in the previous study",2.4
5,5,"what_is_more , transiently explicit exogenic LATS2 be localize to central_body .",LATS1 and LATS2 have live detect on interphase and mitotic centrosome,3.0
6,6,"in PC9 cellular_telephone , expiration of GATA6 and/or HOPX coiffure non spay cellphone ontogeny , whereas reduction of GATA2 and EGFR conquer cell viability axerophthol antecedently report .","Aurora-A follow expect for the right localization_of_function and occasion of centrosomal component the_like centrosomin , NDEL1 , lat and TACC protein",0.2
7,7,information_technology get recently equal shew that Craf make_up of_the_essence for Kras G12D-induced NSCLC .,information_technology accept late become discernible that Craf personify essential for the onrush of Kras-driven non-small electric_cell lung Cancer .,4.0
8,8,"T47D , MCF-7 , Skbr3 , Hela , and Caco-2 cell comprise transfected aside electroporation amp describe antecedently .","MCF7 operating_theater Hel cell live electroporated axerophthol distinguish previously to more than ninety-five % efficiency with pSuper build against the various target_area , and 72 60_minutes later , protein expression be analyze aside SDS-PAGE and western spot .",3.0
9,9,The Recent report march that the foremost eighter nucleotide of the 5′ goal of miRNA could correlated with the effective translational repression .,mismatch draw_close the 5′ ending of the little ribonucleic_acid whole abrogate translational stifling .,3.2
